MasterTable_ID,Alias,Latitude,Longitude,Date/Time/GMT,Start Date/Time (GMT),COncRT,ConcHr,Flow,W/S,W/D,AT,RHx,RHi,BV,FT,Alarm,Type,Serial Number,Version,Sys. Volts,TimeStamp,PDate
70687657,USFS1033,,,3/3/2021 9:00:00 PM,05-FEB-2021 22:00:0,,,,,,,,,,,,, G6841 ,3613-01 R1.57.0,,3/3/2021 9:20:51 PM,3/3/2021 9:21:00 PM
70687663,USFS1033,,,3/3/2021 9:00:00 PM,05-FEB-2021 22:00:0,,,,,,,,,,,,, G6841 ,3613-01 R1.57.0,,3/3/2021 9:21:01 PM,3/3/2021 9:21:00 PM
70687709,USFS1033,33.78455,-84.39713,3/3/2021 9:00:00 PM,,,,,,,,,,,,,,,,12.88,3/3/2021 9:25:27 PM,3/3/2021 9:26:00 PM
70688290,USFS1033,,,3/3/2021 10:00:00 PM,,0.010,0.016,12.3,0.3,359,18.4,27,19,14.4,21.5,256,PM 2.5,,,,3/3/2021 10:17:24 PM,3/3/2021 10:22:00 PM
70689653,USFS1033,,,3/3/2021 11:00:00 PM,,0.008,0.004,16.7,0.3,359,17.8,25,14,14.4,22.3,0,PM 2.5,,,,3/3/2021 11:17:24 PM,3/3/2021 11:18:00 PM
70690449,USFS1033,,,3/4/2021 12:00:00 AM,,0.004,0.010,16.7,0.3,359,16.8,26,15,14.4,20.7,0,PM 2.5,,,,3/4/2021 12:17:24 AM,3/4/2021 12:18:00 AM
70691089,USFS1033,,,3/4/2021 1:00:00 AM,,0.013,0.010,16.6,0.3,359,15.5,32,18,14.4,19.4,0,PM 2.5,,,,3/4/2021 1:17:24 AM,3/4/2021 1:20:00 AM
70691512,USFS1033,,,3/4/2021 2:00:00 AM,,0.007,0.005,16.7,0.3,359,14.4,34,19,14.4,18.2,0,PM 2.5,,,,3/4/2021 2:17:24 AM,3/4/2021 2:18:00 AM
70692079,USFS1033,,,3/4/2021 3:00:00 AM,,0.011,0.009,16.7,0.3,359,13.3,36,19,14.4,17.3,0,PM 2.5,,,,3/4/2021 3:17:25 AM,3/4/2021 3:22:00 AM
70692521,USFS1033,,,3/4/2021 4:00:00 AM,,0.007,0.008,16.7,0.3,359,12.2,37,20,14.4,16.5,0,PM 2.5,,,,3/4/2021 4:17:25 AM,3/4/2021 4:18:00 AM
70692924,USFS1033,,,3/4/2021 5:00:00 AM,,0.006,0.005,16.7,0.3,359,11.5,39,21,14.4,15.6,0,PM 2.5,,,,3/4/2021 5:17:25 AM,3/4/2021 5:18:00 AM
70693352,USFS1033,,,3/4/2021 6:00:00 AM,,0.008,0.012,16.7,0.3,360,10.7,47,24,14.4,14.9,0,PM 2.5,,,,3/4/2021 6:17:25 AM,3/4/2021 6:18:00 AM
70693874,USFS1033,,,3/4/2021 7:00:00 AM,,0.010,0.008,16.7,0.3,360,10.0,51,26,14.4,14.1,0,PM 2.5,,,,3/4/2021 7:17:25 AM,3/4/2021 7:22:00 AM
70694302,USFS1033,,,3/4/2021 8:00:00 AM,,0.008,0.008,16.7,0.3,359,9.8,52,27,14.4,13.8,0,PM 2.5,,,,3/4/2021 8:17:25 AM,3/4/2021 8:18:00 AM
70694791,USFS1033,,,3/4/2021 9:00:00 AM,,0.006,0.009,16.7,0.3,360,9.2,56,28,14.4,13.4,0,PM 2.5,,,,3/4/2021 9:17:25 AM,3/4/2021 9:18:00 AM
70694842,USFS1033,33.7791,-84.39581,3/4/2021 9:00:00 AM,,,,,,,,,,,,,,,,13.29,3/4/2021 9:24:37 AM,3/4/2021 9:25:00 AM
70695271,USFS1033,,,3/4/2021 10:00:00 AM,,0.007,0.008,16.7,0.3,360,9.1,56,28,14.4,13.1,0,PM 2.5,,,,3/4/2021 10:17:25 AM,3/4/2021 10:20:00 AM
70695790,USFS1033,,,3/4/2021 11:00:00 AM,,0.003,0.003,16.7,0.3,359,9.0,55,28,14.4,12.9,0,PM 2.5,,,,3/4/2021 11:17:25 AM,3/4/2021 11:18:00 AM
70696251,USFS1033,,,3/4/2021 12:00:00 PM,,0.012,0.010,16.7,0.3,359,8.2,60,29,14.4,12.6,0,PM 2.5,,,,3/4/2021 12:17:26 PM,3/4/2021 12:18:00 PM
70697056,USFS1033,,,3/4/2021 1:00:00 PM,,0.005,0.006,16.7,0.3,358,7.5,65,30,14.4,12.4,0,PM 2.5,,,,3/4/2021 1:17:27 PM,3/4/2021 1:18:00 PM
70698004,USFS1033,,,3/4/2021 2:00:00 PM,,0.003,0.004,16.7,0.3,359,10.4,51,23,14.4,16.5,0,PM 2.5,,,,3/4/2021 2:17:27 PM,3/4/2021 2:20:00 PM
70698616,USFS1033,,,3/4/2021 3:00:00 PM,,0.001,-0.002,16.7,0.3,359,14.3,40,19,14.4,20.9,0,PM 2.5,,,,3/4/2021 3:17:27 PM,3/4/2021 3:20:00 PM
70699329,USFS1033,,,3/4/2021 4:00:00 PM,,0.067,0.068,16.7,0.3,359,16.7,33,15,14.4,24.9,0,PM 2.5,,,,3/4/2021 4:17:27 PM,3/4/2021 4:18:00 PM
