MasterTable_ID,Alias,Latitude,Longitude,Date/Time/GMT,Start Date/Time (GMT),COncRT,ConcHr,Flow,W/S,W/D,AT,RHx,RHi,BV,FT,Alarm,Type,Serial Number,Version,Sys. Volts,TimeStamp,PDate
71190084,USFS1031,,,4/5/2021 9:00:00 PM,05-APR-2021 21:00:0,,,,,,,,,,,,, E1122 ,3613-01 R1.57.0,,4/5/2021 9:05:51 PM,4/5/2021 9:06:00 PM
71190088,USFS1031,,,4/5/2021 9:00:00 PM,05-APR-2021 21:00:0,,,,,,,,,,,,, E1122 ,3613-01 R1.57.0,,4/5/2021 9:06:01 PM,4/5/2021 9:06:00 PM
71190176,USFS1031,47.5598,-122.3978,4/5/2021 9:00:00 PM,,,,,,,,,,,,,,,,13.14,4/5/2021 9:10:43 PM,4/5/2021 9:11:00 PM
71191063,USFS1031,,,4/5/2021 10:00:00 PM,,0.005,0.004,16.0,0.3,1,12.4,0,20,14.4,19.5,256,PM 2.5,,,,4/5/2021 10:02:18 PM,4/5/2021 10:03:00 PM
71192025,USFS1031,,,4/5/2021 11:00:00 PM,,-0.000,0.001,16.7,0.3,1,13.6,0,18,14.4,20.4,0,PM 2.5,,,,4/5/2021 11:02:19 PM,4/5/2021 11:03:00 PM
71192668,USFS1031,,,4/6/2021 12:00:00 AM,,0.001,0.001,16.7,0.3,1,14.2,0,16,14.4,20.9,0,PM 2.5,,,,4/6/2021 12:02:20 AM,4/6/2021 12:03:00 AM
71193145,USFS1031,,,4/6/2021 1:00:00 AM,,0.003,0.005,16.6,0.3,1,13.3,0,17,14.4,19.5,0,PM 2.5,,,,4/6/2021 1:02:21 AM,4/6/2021 1:05:00 AM
71193599,USFS1031,,,4/6/2021 2:00:00 AM,,0.005,0.006,16.7,0.3,1,11.3,0,21,14.4,14.9,0,PM 2.5,,,,4/6/2021 2:02:22 AM,4/6/2021 2:03:00 AM
71194120,USFS1031,,,4/6/2021 3:00:00 AM,,0.002,0.006,16.7,0.3,1,9.6,0,25,14.4,12.4,0,PM 2.5,,,,4/6/2021 3:02:23 AM,4/6/2021 3:05:00 AM
71194660,USFS1031,,,4/6/2021 4:00:00 AM,,0.009,0.007,16.7,0.3,1,8.0,0,28,14.4,10.6,0,PM 2.5,,,,4/6/2021 4:02:24 AM,4/6/2021 4:03:00 AM
71195201,USFS1031,,,4/6/2021 5:00:00 AM,,0.004,0.009,16.7,0.3,1,8.4,0,31,14.4,10.6,0,PM 2.5,,,,4/6/2021 5:02:25 AM,4/6/2021 5:05:00 AM
71195713,USFS1031,,,4/6/2021 6:00:00 AM,,0.013,0.005,16.7,0.3,1,7.3,0,34,14.4,9.6,0,PM 2.5,,,,4/6/2021 6:02:26 AM,4/6/2021 6:03:00 AM
71196225,USFS1031,,,4/6/2021 7:00:00 AM,,0.010,0.012,16.7,0.3,1,6.6,0,39,14.4,8.2,0,PM 2.5,,,,4/6/2021 7:02:27 AM,4/6/2021 7:05:00 AM
71196782,USFS1031,,,4/6/2021 8:00:00 AM,,0.012,0.012,16.7,0.3,1,6.0,0,41,14.4,7.3,0,PM 2.5,,,,4/6/2021 8:02:28 AM,4/6/2021 8:05:00 AM
71197324,USFS1031,,,4/6/2021 9:00:00 AM,,0.010,0.011,16.7,0.3,1,5.1,0,42,14.4,6.7,0,PM 2.5,,,,4/6/2021 9:02:29 AM,4/6/2021 9:03:00 AM
71197419,USFS1031,47.5597,-122.3979,4/6/2021 9:00:00 AM,,,,,,,,,,,,,,,,13.29,4/6/2021 9:09:29 AM,4/6/2021 9:12:00 AM
71198206,USFS1031,,,4/6/2021 10:00:00 AM,,0.008,0.007,16.7,0.3,1,4.7,0,43,14.4,6.3,0,PM 2.5,,,,4/6/2021 10:02:30 AM,4/6/2021 10:21:00 AM
71198635,USFS1031,,,4/6/2021 11:00:00 AM,,0.012,0.010,16.7,0.3,1,4.4,0,44,14.4,6.0,0,PM 2.5,,,,4/6/2021 11:02:31 AM,4/6/2021 11:05:00 AM
71199338,USFS1031,,,4/6/2021 12:00:00 PM,,0.003,0.004,16.7,0.3,1,4.1,0,44,14.4,5.7,0,PM 2.5,,,,4/6/2021 12:02:32 PM,4/6/2021 12:03:00 PM
71200487,USFS1031,,,4/6/2021 1:00:00 PM,,0.006,0.004,16.7,0.3,1,3.6,0,44,14.4,5.4,0,PM 2.5,,,,4/6/2021 1:02:33 PM,4/6/2021 1:03:00 PM
71201123,USFS1031,,,4/6/2021 2:00:00 PM,,0.005,0.005,16.7,0.3,1,3.1,0,44,14.4,5.2,0,PM 2.5,,,,4/6/2021 2:02:34 PM,4/6/2021 2:07:00 PM
71201732,USFS1031,,,4/6/2021 3:00:00 PM,,-0.005,-0.005,16.7,0.3,1,4.6,0,43,14.4,6.2,0,PM 2.5,,,,4/6/2021 3:02:35 PM,4/6/2021 3:05:00 PM
71202299,USFS1031,,,4/6/2021 4:00:00 PM,,-0.005,-0.005,16.7,0.3,1,7.4,0,34,14.4,10.2,0,PM 2.5,,,,4/6/2021 4:02:36 PM,4/6/2021 4:03:00 PM
71203032,USFS1031,,,4/6/2021 5:00:00 PM,,-0.002,-0.002,16.7,0.3,1,8.6,0,27,14.4,13.5,0,PM 2.5,,,,4/6/2021 5:02:37 PM,4/6/2021 5:07:00 PM
71203621,USFS1031,,,4/6/2021 6:00:00 PM,,-0.002,-0.004,16.7,0.3,1,9.8,0,24,14.3,16.0,0,PM 2.5,,,,4/6/2021 6:04:14 PM,4/6/2021 6:05:00 PM
